 ,product_name,product_price,product_link
1,,,
2,"(refurbished) nothing phone (2) 5g (dark grey, 8gb ram, 128gb storage)","34,499",https://www.amazon.in/Refurbished-Nothing-Phone-128GB-Storage/dp/B0CKF62DN9
3,nothing phone 1 5g black 8gb ram 128gb rom | 6.55 inch 120hz oled display | 50mp + 50mp rear | 16mp front camera | glyph interface | qualcomn snapdragon 778g+ processor,"31,999",https://www.amazon.in/Nothing-Phone-1/dp/B0BGFGXV5G
4,"(refurbished) nothing phone (1) (black, 256 gb) (12 gb ram)","26,895",https://www.amazon.in/Renewed-Nothing-Phone-Black-256/dp/B0BFH518HX
5,"tecno spark go 2024 (mystery white,8gb* ram, 64gb rom)| segment first 90hz dot-in display with dynamic port & dual speakers with dts| 5000mah| 10w type-c| fingerprint sensor| octa-core processor","7,399",https://www.amazon.in/Mystery-Speakers-Fingerprint-Octa-Core-Processor/dp/B0CN1C2BG1
6,"(refurbished) nothing phone (2) 5g (dark grey, 12gb ram, 256gb storage)","37,999",https://www.amazon.in/Refurbished-Nothing-Phone-256GB-Storage/dp/B0CKBQWTG4
7,"poco x6 neo 5g (astral black, 12gb ram, 256gb storage) | expandable upto 1 tb | 6.67"" full hd+ amoled display | 108mp + 2mp | 16mp front camera | dimensity 6080 processor | 33 w type c fast charging","17,369",https://www.amazon.in/POCO-Expandable-Dimensity-Processor-Charging/dp/B0CY9D1GF4
8,"(refurbished) nothing phone (2) 5g (white, 12gb ram, 256gb storage)",,https://www.amazon.in/Refurbished-Nothing-Phone-White-Storage/dp/B0CKC35GXN
9,"redmi note 11t 5g (stardust white, 8gb ram, 128gb rom) | dimensity 810 5g | 33w pro fast charging | charger included | additional exchange offers| get 2 months of youtube premium free!","19,899",https://www.amazon.in/Redmi-Note-11T-5G-Dimensity/dp/B09LHX1YFX
10,"redmi 9 (sky blue, 4gb ram, 64gb storage) | 2.3ghz mediatek helio g35 octa core processor","10,899",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N
11,"one plus nord - n20 se - 4gb ram, 64gb storage (celestial black)","14,999",https://www.amazon.in/One-Plus-Nord-Storage-Celestial/dp/B0D2TLTX1J
12,"tecno spark 10 (meta blue, 8gb ram,128gb storage)|16gb expandable ram | 50mp ai dual rear camera| 90hz refresh rate 6.56"" hd+dot display","8,978",https://www.amazon.in/Storage-Expandable-Camera-Refresh-Display/dp/B0C14PY691
13,"mi 11x 5g (celestial silver, 8gb ram, 128gb storage) | sd 870 | displaymate a+ rated 120hz e4 amoled | 48mp sony sensor","23,999",https://www.amazon.in/11X-Celestial-Silver-128GB-Storage/dp/B085J1MVWM
14,"(refurbished) nothing phone (2) 5g (white, 12gb ram, 512gb storage)",,https://www.amazon.in/Refurbished-Nothing-Phone-White-Storage/dp/B0CKBXQKBT
15,"tecno phantom x2 5g stardust grey (8gb ram,256gb storage) | world's 1st 4nm dimensity 9000 5g processor | dual curved amoled display | 64mp rgbw camera","36,999",https://www.amazon.in/Tecno-Phantom-Stardust-Dimensity-Processor/dp/B0BPS3DCC7
16,"redmi note 11 pro (stealth black, 8gb ram, 128gb storage)| 67w turbo charge | 120hz super amoled display | charger included | get 2 months of youtube premium free!","19,999",https://www.amazon.in/Redmi-Stealth-Storage-Display-Included/dp/B09T2WC3MS
17,"mi 11x 5g (cosmic black, 6gb ram, 128gb storage) | sd 870 | displaymate a+ rated 120hz e4 amoled | 48mp sony sensor","22,999",https://www.amazon.in/11X-Cosmic-Black-128GB-Storage/dp/B085J1QWFV
